"ID","EXPT","LOCATION","YEAR","PLOT","ROW","COLUMN","CHECKS","ENTRY","TREATMENT"
"1",1,"20WRA","1","2023",1,1,1,0,79,"Gen-79"
"2",2,"20WRA","1","2023",2,1,2,0,62,"Gen-62"
"3",3,"20WRA","1","2023",3,1,3,0,78,"Gen-78"
"4",4,"20WRA","1","2023",4,1,4,0,22,"Gen-22"
"5",5,"20WRA","1","2023",5,1,5,0,87,"Gen-87"
"6",6,"20WRB","1","2023",1001,1,6,0,121,"Gen-121"
"7",7,"20WRB","1","2023",1002,1,7,0,124,"Gen-124"
"8",8,"20WRB","1","2023",1003,1,8,0,112,"Gen-112"
"9",9,"20WRB","1","2023",1004,1,9,1,1,"Check-1"
"10",10,"20WRB","1","2023",1005,1,10,0,128,"Gen-128"
"11",11,"20WRC","1","2023",2001,1,11,0,228,"Gen-228"
"12",12,"20WRC","1","2023",2002,1,12,0,261,"Gen-261"
"13",13,"20WRC","1","2023",2003,1,13,0,213,"Gen-213"
"14",14,"20WRC","1","2023",2004,1,14,0,238,"Gen-238"
"15",15,"20WRC","1","2023",2005,1,15,0,194,"Gen-194"
"16",16,"20WRA","1","2023",6,2,5,0,81,"Gen-81"
"17",17,"20WRA","1","2023",7,2,4,0,72,"Gen-72"
"18",18,"20WRA","1","2023",8,2,3,0,17,"Gen-17"
"19",19,"20WRA","1","2023",9,2,2,0,20,"Gen-20"
"20",20,"20WRA","1","2023",10,2,1,0,64,"Gen-64"
"21",21,"20WRB","1","2023",1006,2,10,0,156,"Gen-156"
"22",22,"20WRB","1","2023",1007,2,9,0,174,"Gen-174"
"23",23,"20WRB","1","2023",1008,2,8,0,150,"Gen-150"
"24",24,"20WRB","1","2023",1009,2,7,0,107,"Gen-107"
"25",25,"20WRB","1","2023",1010,2,6,4,4,"Check-4"
"26",26,"20WRC","1","2023",2006,2,15,0,199,"Gen-199"
"27",27,"20WRC","1","2023",2007,2,14,0,200,"Gen-200"
"28",28,"20WRC","1","2023",2008,2,13,0,222,"Gen-222"
